iter	RMSE
201	0.6549793472
202	0.6543619799
203	0.6446798525
204	0.6439713437
205	0.6380022465
206	0.6373978355
207	0.630263845
208	0.6295859566
209	0.6290069079
210	0.628466963
211	0.6279126347
212	0.6273709356
213	0.6268667903
214	0.6263679502
215	0.6174778207
216	0.6168867935
217	0.616158939
218	0.6108595239
219	0.6040060775
220	0.6034512366
221	0.602988365
222	0.6025350615
223	0.6020666797
224	0.6016312448
225	0.6012046369
226	0.594973475
227	0.5944814137
228	0.5940489265
229	0.5935773096
230	0.5931611981
231	0.5874580432
232	0.5870725483
233	0.5826621811
234	0.5822957277
235	0.5819272163
236	0.5815662276
237	0.5811445828
238	0.5762735877
239	0.5759040845
240	0.5718913834
241	0.5714933766
242	0.5711056464
243	0.5707552164
244	0.5704143674
245	0.5659832906
246	0.5656492917
247	0.560015531
248	0.5558674746
249	0.5553605873
250	0.5550371524
251	0.551108505
252	0.5506130319
253	0.5502980809
254	0.5500466225
255	0.5467136609
256	0.5463843587
257	0.5461387388
258	0.5458333957
259	0.5416101299
260	0.5379140295
261	0.537573869
262	0.5339040912
263	0.5302393179
264	0.5298286889
265	0.526516604
266	0.523451619
267	0.5208117936
268	0.5204703415
269	0.516392967
270	0.515350499
271	0.5148704674
272	0.514626106
273	0.5105376365
274	0.5101820027
275	0.5099158152
276	0.5096869141
277	0.509438938
278	0.5091127346
279	0.5087037926
280	0.5085026545
281	0.5081048235
282	0.507947804
283	0.507545636
284	0.5073604071
285	0.5043202364
286	0.5017371188
287	0.5013025312
288	0.5009507221
289	0.4973738222
290	0.4947849773
291	0.4945187431
292	0.4928675818
293	0.4926481468
294	0.4923607206
295	0.4910753038
296	0.4909110649
297	0.490613318
298	0.4903110782
299	0.4878367093
300	0.4851907009
301	0.4824069406
302	0.4822316953
303	0.4792270279
304	0.4770614378
305	0.4768186666
306	0.4763922097
307	0.4759170526
308	0.4756746139
309	0.4754393118
310	0.4728063188
311	0.4711133501
312	0.4682006478
313	0.4678346134
314	0.4676534526
315	0.4674518834
316	0.4672388812
317	0.4670922358
318	0.4669070543
319	0.4667268494
320	0.4664708591
321	0.4662239192
322	0.4642585927
323	0.4639735828
324	0.463492932
325	0.4613768168
326	0.4587180386
327	0.4567964275
328	0.4551478043
329	0.4526971853
330	0.4524296878
331	0.4520400329
332	0.4518764055
333	0.4482855321
334	0.4459310519
335	0.4454961922
336	0.4447265758
337	0.4445735039
338	0.4444232698
339	0.4442780747
340	0.4415333537
341	0.4394224713
342	0.4392763074
343	0.4373326514
344	0.4370813965
345	0.4355987112
346	0.4352480469
347	0.435096596
348	0.4331421492
349	0.4323363414
350	0.4309133388
351	0.4305806697
352	0.4302600457
353	0.4277190906
354	0.4273377964
355	0.427213132
356	0.4257549572
357	0.4256345932
358	0.4254122978
359	0.4252956503
360	0.4251793479
361	0.4249011704
362	0.4244553877
363	0.4243378793
364	0.4230417528
365	0.4228347284
366	0.4212385994
367	0.4203383594
368	0.420204803
369	0.4199741794
370	0.4197476332
371	0.4183472034
372	0.4181285545
373	0.4180314274
374	0.4174783079
375	0.4174060007
376	0.4167762008
377	0.4155755877
378	0.4152663962
379	0.4150771718
380	0.4134508496
381	0.413268709
382	0.4131770247
383	0.410578977
384	0.4086094326
385	0.4084792017
386	0.4083923748
387	0.4081928272
388	0.4079875865
389	0.4078146106
390	0.407442003
391	0.4072916824
392	0.4071274562
393	0.4055986548
394	0.4045266243
395	0.4027102959
396	0.4026027081
397	0.4024094586
398	0.4022336988
399	0.4011522461
400	0.4009859202
401	0.4009083047
402	0.3993215665
403	0.3992457106
404	0.3990668614
405	0.3984809782
406	0.3974376711
407	0.3958680586
408	0.394482472
409	0.3931218584
410	0.3929418218
411	0.39282935
412	0.3914254798
413	0.3894636132
414	0.389287793
415	0.389062637
416	0.3887873285
417	0.3886185702
418	0.3875284647
419	0.3873619236
420	0.3872177976
421	0.3859306096
422	0.3858265752
423	0.3832697632
424	0.3831321359
425	0.3819562808
426	0.3816159612
427	0.3814777318
428	0.3810472946
429	0.380400575
430	0.3802679765
431	0.3798886253
432	0.3786446202
433	0.3779519461
434	0.3767584075
435	0.3764145826
436	0.3754722975
437	0.3749727313
438	0.374818705
439	0.374024937
440	0.3737310703
441	0.3729488284
442	0.3726690835
443	0.3704855617
444	0.3702044169
445	0.3700110921
446	0.3692679953
447	0.3687934818
448	0.3686086099
449	0.3684734749
450	0.368023302
451	0.3679148114
452	0.3677404397
453	0.3660857784
454	0.3659580756
455	0.3648683702
456	0.3647357339
457	0.3642769196
458	0.3634282235
459	0.3633042943
460	0.3631698891
461	0.3616781551
462	0.3613692008
463	0.361071969
464	0.3603113645
465	0.3595086324
466	0.358511489
467	0.3571572138
468	0.3562588726
469	0.3560396473
470	0.3542744929
471	0.354013015
472	0.3521465571
473	0.3519337393
474	0.3505337526
475	0.3502263031
476	0.3499475147
477	0.3489838777
478	0.3479583359
479	0.3473018455
480	0.3468146784
481	0.3464590205
482	0.3462594552
483	0.3448356062
484	0.344160461
485	0.3440133573
486	0.3423272946
487	0.3414390073
488	0.3407265145
489	0.339914419
490	0.3398001049
491	0.3388486962
492	0.3380587685
493	0.3379917416
494	0.3377047596
495	0.3361474599
496	0.3354031355
497	0.3352229171
498	0.3351608512
499	0.3339830817
500	0.3338429926
501	0.3327664321
502	0.3325277201
503	0.3323534935
504	0.3322901068
505	0.3310746993
506	0.3306718824
507	0.3300306917
508	0.329918983
509	0.3285633536
510	0.3283893447
511	0.3277558124
512	0.3270991324
513	0.3265184572
514	0.3254790619
515	0.3240253438
516	0.3238782877
517	0.3229722663
518	0.3228307989
519	0.3224423891
520	0.3213634865
521	0.3204237795
522	0.3198568186
523	0.3190105266
524	0.3188937325
525	0.3188091485
526	0.3185383499
527	0.3178223237
528	0.3167104532
529	0.3166127966
530	0.3163642913
531	0.3157280323
532	0.3155373259
533	0.3152582928
534	0.3146036934
535	0.3144405232
536	0.3131574608
537	0.3129578753
538	0.3123718013
539	0.3121502467
540	0.3116651576
541	0.3114792614
542	0.3113756399
543	0.3109524441
544	0.3099389968
545	0.3097122914
546	0.3093132231
547	0.3091848566
548	0.3090605276
549	0.3086107143
550	0.3083620894
551	0.308164217
552	0.3075784895
553	0.3074766323
554	0.3070974434
555	0.3064633059
556	0.3064237709
557	0.3062282008
558	0.3058041786
559	0.3054682283
560	0.3049278196
561	0.3047612074
562	0.3040387702
563	0.303545849
564	0.3031648237
565	0.3019766443
566	0.3017867598
567	0.3013800288
568	0.3004732901
569	0.2994889979
570	0.2990210703
571	0.2988378499
572	0.2985054058
573	0.2983270109
574	0.2981187392
575	0.2976985789
576	0.2975028931
577	0.2971254316
578	0.2962328387
579	0.2955984005
580	0.2954892902
581	0.2947484373
582	0.2944699775
583	0.2935452772
584	0.2934240612
585	0.2926208157
586	0.2921497051
587	0.2915984963
588	0.2913735662
589	0.2906641609
590	0.2900993862
591	0.2898791599
592	0.2896596291
593	0.2895318608
594	0.2890930461
595	0.2887703135
596	0.288578088
597	0.2882584505
598	0.2880177572
599	0.2879267911
600	0.2876272733
601	0.2873143801
602	0.2869139762
603	0.2865862162
604	0.2862625058
605	0.2859519862
606	0.28557404
607	0.285346669
608	0.284864571
609	0.2838195571
610	0.2833709262
611	0.2829928318
612	0.2827577306
613	0.2821571211
614	0.2814292496
615	0.2805758478
616	0.2803923239
617	0.2796370048
618	0.2793140292
619	0.2789458858
620	0.2785120769
621	0.2782175388
622	0.27798311
623	0.277677097
624	0.2773882167
625	0.276713521
626	0.2759893707
627	0.2758504088
628	0.2755850089
629	0.2750185216
630	0.2743407852
631	0.2736442401
632	0.2729629408
633	0.2726621443
634	0.2722576458
635	0.2718543735
636	0.2716459631
637	0.2713510159
638	0.2710473561
639	0.2708713304
640	0.2705961293
641	0.2702213204
642	0.2698699517
643	0.2696915754
644	0.2691150424
645	0.268265422
646	0.2679114522
647	0.2676695467
648	0.267296704
649	0.2666827954
650	0.2664178141
651	0.2661396842
652	0.2658317095
653	0.2652620402
654	0.2643919012
655	0.2641258026
656	0.2633442454
657	0.2630904494
658	0.2620525553
659	0.2618205445
660	0.2614559863
661	0.2612713399
662	0.2609207363
663	0.2608520865
664	0.2605433465
665	0.2596317755
666	0.2592382159
667	0.2587993255
668	0.2585553796
669	0.2578554323
670	0.2576866219
671	0.2574026775
672	0.2567786147
673	0.2565376864
674	0.2565049933
675	0.2562838774
676	0.2561206327
677	0.2560614871
678	0.255649396
679	0.2553720865
680	0.2546717707
681	0.2545436042
682	0.2540261545
683	0.2537547922
684	0.2534245807
685	0.2531911711
686	0.2529940345
687	0.2528366853
688	0.2526650543
689	0.2525932247
690	0.2522820754
691	0.2522276265
692	0.2519723868
693	0.2516877358
694	0.2515707095
695	0.2514025455
696	0.2512950459
697	0.2512095245
698	0.2504501663
699	0.2498095084
700	0.2493862086
701	0.2492168431
702	0.2488955443
703	0.2485950519
704	0.2484835878
705	0.2483969519
706	0.2481569585
707	0.2476527174
708	0.2474457283
709	0.2470515083
710	0.2469649617
711	0.2467195369
712	0.2465068657
713	0.2462173662
714	0.2458316244
715	0.2457409653
716	0.2455189006
717	0.2453547457
718	0.2452255846
719	0.2448773167
720	0.2446782411
721	0.2435115641
722	0.2433330095
723	0.2429885513
724	0.2428526103
725	0.2426083782
726	0.2421196392
727	0.24194677
728	0.2415958385
729	0.2415186566
730	0.241443485
731	0.2413281191
732	0.241319501
733	0.2410520779
734	0.2405019514
735	0.2403137866
736	0.240190672
737	0.2400596185
738	0.2398611223
739	0.238987615
740	0.2381991765
741	0.2377673177
742	0.2375741978
743	0.2372985522
744	0.2371507724
745	0.2369558924
746	0.2367415013
747	0.2366587341
748	0.2365379121
749	0.2364351179
750	0.2358618315
751	0.2356781413
752	0.2351784049
753	0.2346623374
754	0.2342508224
755	0.2341618496
756	0.2340029289
757	0.233785618
758	0.2337119053
759	0.2335888984
760	0.2331234348
761	0.2327146726
762	0.2315166065
763	0.2312689084
764	0.2308771134
765	0.2307816076
766	0.2304290894
767	0.2304057339
768	0.2300341219
769	0.2299750118
770	0.2296385017
771	0.2290319563
772	0.2287044074
773	0.2285326893
774	0.2284553586
775	0.2282080723
776	0.2280389958
777	0.2279316412
778	0.2278286154
779	0.2269060398
780	0.2265895318
781	0.2264472468
782	0.2260822381
783	0.2255258365
784	0.2254951416
785	0.2254368659
786	0.2253730935
787	0.2252147126
788	0.2250515802
789	0.2249456849
790	0.2247967961
791	0.2244994393
792	0.2239536285
793	0.2237540098
794	0.2236211663
795	0.2230601143
796	0.2222738899
797	0.2221472098
798	0.2219763217
799	0.2218976562
800	0.2213929275
801	0.2212306553
802	0.2207860643
803	0.2204804918
804	0.2202003445
805	0.2201788654
806	0.2197590612
807	0.2193961253
808	0.2193029848
809	0.2190005731
810	0.2188486061
811	0.2186945449
812	0.2184047125
813	0.2181280909
814	0.2178481681
815	0.2175959899
816	0.2174618899
817	0.2169635996
818	0.2167024038
819	0.2164303781
820	0.2160898607
821	0.2158394773
822	0.215682177
823	0.2152117725
824	0.2150736219
825	0.2147744533
826	0.2145779724
827	0.2144721871
828	0.2142585346
829	0.2141725373
830	0.2136907293
831	0.2136449115
832	0.2135661532
833	0.2134465814
834	0.2132033481
835	0.2131137033
836	0.2129786827
837	0.2129038748
838	0.2127184997
839	0.2124847498
840	0.2123787306
841	0.2117844964
842	0.2115506525
843	0.2114023281
844	0.211113629
845	0.211054496
846	0.2108069488
847	0.2104795036
848	0.2099837071
849	0.2089855476
850	0.208533095
851	0.2083560637
852	0.2082485012
853	0.2076995275
854	0.207586721
855	0.2074394894
856	0.2073352746
857	0.2072194531
858	0.2067973539
859	0.2066663832
860	0.2059806565
861	0.2058660874
862	0.2057706586
863	0.2052046613
864	0.2050930926
865	0.2047319734
866	0.2046128242
867	0.2045558033
868	0.2037586342
869	0.2034439339
870	0.2033553493
871	0.2032378679
872	0.2029949889
873	0.2027629143
874	0.2026015934
875	0.2023352366
876	0.2022056646
877	0.2020980016
878	0.2018544856
879	0.2016391111
880	0.2014649067
881	0.2013676978
882	0.2010262565
883	0.2007577249
884	0.2004827774
885	0.2003828057
886	0.200285171
887	0.2000241012
888	0.1998173974
889	0.1996625122
890	0.1992634958
891	0.1991755086
892	0.1989714658
893	0.1987492753
894	0.1983967194
895	0.1981374154
896	0.1977557521
897	0.1968725494
898	0.196834251
899	0.1963605361
900	0.1962771137
901	0.1962315688
902	0.1958615139
903	0.1958038431
904	0.1956592665
905	0.1951667909
906	0.1950171273
907	0.1948807581
908	0.1946850151
909	0.1944862688
910	0.1944382054
911	0.1942205764
912	0.1941110162
913	0.1938533527
914	0.1937411101
915	0.1936284611
916	0.1934752025
917	0.1934032358
918	0.193355966
919	0.1932772919
920	0.1931469352
921	0.1928146074
922	0.1927460201
923	0.1927095463
924	0.1926091277
925	0.1925259365
926	0.1922776955
927	0.192206432
928	0.1920609985
929	0.1920266786
930	0.1919463341
931	0.1915223408
932	0.1914186027
933	0.1911983695
934	0.1909879449
935	0.1904140338
936	0.1900695453
937	0.1899801536
938	0.189785235
939	0.1896681985
940	0.1894311457
941	0.1893404774
942	0.1891891883
943	0.1890867901
944	0.1887289999
945	0.1886513426
946	0.1886027147
947	0.1879082192
948	0.1878430882
949	0.1876928781
950	0.1876082718
951	0.1871810618
952	0.1870019008
953	0.1866136225
954	0.1863581163
955	0.1861379185
956	0.1860244738
957	0.1858590032
958	0.1857050782
959	0.1855166286
960	0.1851721005
961	0.1850175865
962	0.1849752372
963	0.1848882115
964	0.1848224077
965	0.1847690529
966	0.184678529
967	0.1846241019
968	0.1844729344
969	0.1843624897
970	0.184027909
971	0.1836799593
972	0.1835161295
973	0.1833978147
974	0.1833573965
975	0.183197791
976	0.1831362124
977	0.1827813987
978	0.1823738499
979	0.1820592377
980	0.1816728429
981	0.1815554797
982	0.1814275643
983	0.1813680593
984	0.1811837814
985	0.1811634237
986	0.180839189
987	0.1807460328
988	0.180412814
989	0.1802774958
990	0.1801405358
991	0.1797764654
992	0.1796239946
993	0.1795720853
994	0.1794914181
995	0.1789680432
996	0.1789131068
997	0.1781666688
998	0.1779992961
999	0.1778003731
